# mode<TAB>name<TAB>git URL or Wallhaven ID
git	aetheria	git@github.com:jjdizz1l/aetheria
git	dos-moos	git@github.com:HANCORE-linux/omarchy-dos-moos-theme.git
git	event-horizon	git@github.com:OldJobobo/omarchy-event-horizon-theme
git	evergreen	git@github.com:bjarneo/omarchy-evergreen-theme
git	florida-man	git@github.com:OldJobobo/omarchy-florida-man-theme.git
git	gruvbox-light	git@github.com:Kushal0924/omarchy-gruvbox-light-theme.git
git	lumon	git@github.com:OldJobobo/omarchy-lumon-theme
git	mechanoonna	git@github.com:HANCORE-linux/omarchy-mechanoonna-theme.git
git	miasma	git@github.com:OldJobobo/omarchy-miasma-theme
git	sakura-mochi	git@github.com:OldJobobo/omarchy-sakura-mochi-theme
git	the-black-pharaoh	git@github.com:OldJobobo/omarchy-the-black-pharaoh-theme
wallhaven	wallhaven-mlygyy	mlgyy
wallhaven	wallhaven-porsche	rqp9jw
